"s","a","r","sp"
29160,6,-100,30164
30164,2,-100,30167
30167,5,-25,30671
30671,4,0,31176
31176,2,-100,31180
31180,2,-100,31184
31184,5,-25,31689
31689,4,0,31693
31693,4,0,31698
31698,7,-225,32203
32203,4,0,32208
32208,1,-225,31713
31713,1,-225,31717
31717,2,-100,31221
31221,4,0,30725
30725,2,-100,30229
30229,1,-225,29732
29732,3,-25,29235
29235,7,-225,29238
29238,3,-25,28741
28741,6,-100,28743
28743,3,-25,28245
28245,4,0,27747
27747,6,-100,27749
27749,4,0,27251
27251,1,-225,26251
26251,1,-225,25752
25752,5,-25,25252
25252,1,-225,24252
24252,5,-25,24251
24251,3,-25,23250
23250,6,-100,23249
23249,1,-225,22247
22247,1,-225,21745
21745,4,0,21242
21242,1,-225,20739
20739,7,-225,20736
20736,5,-25,20233
20233,4,0,20229
20229,1,-225,19226
19226,5,-25,19222
19222,6,-100,19718
19718,6,-100,19714
19714,4,0,19711
19711,1,-225,19207
19207,3,-25,19203
19203,3,-25,18699
18699,4,0,18694
18694,1,-225,18690
18690,7,-225,19186
19186,5,-25,19683
19683,3,-25,19679
19679,4,0,19675
19675,3,-25,20172
20172,1,-225,20169
20169,6,-100,20666
20666,6,-100,21664
21664,2,-100,21661
21661,4,0,22159
22159,1,-225,22158
22158,6,-100,23156
23156,7,-225,23656
23656,6,-100,24655
24655,2,-100,24655
24655,3,-25,25156
25156,6,-100,26156
26156,2,-100,26157
26157,6,-100,27159
27159,1,-225,27160
27160,7,-225,28163
28163,6,-100,28665
28665,1,-225,28668
28668,7,-225,29671
29671,5,-25,30175
30175,4,0,30678
30678,5,-25,30683
30683,3,-25,31187
31187,2,-100,30691
30691,6,-100,31195
31195,7,-225,31700
31700,3,-25,31704
31704,7,-225,32209
32209,7,-225,32214
32214,4,0,32219
32219,3,-25,31724
31724,2,-100,31228
31228,5,-25,31233
31233,3,-25,30737
30737,5,-25,30740
30740,1,-225,29744
29744,6,-100,29747
29747,2,-100,29250
29250,7,-225,28753
28753,5,-25,28755
28755,4,0,28257
28257,4,0,27759
27759,1,-225,26760
26760,6,-100,26261
26261,2,-100,25761
25761,4,0,24761
24761,6,-100,24761
24761,1,-225,23760
23760,3,-25,23259
23259,4,0,22757
22757,7,-225,22255
22255,6,-100,22253
22253,6,-100,21751
21751,6,-100,21749
21749,6,-100,21747
21747,6,-100,21244
21244,4,0,21241
21241,3,-25,20238
20238,4,0,20235
20235,7,-225,20232
20232,7,-225,20228
20228,1,-225,19725
19725,2,-100,19221
19221,5,-25,19217
19217,3,-25,18712
18712,7,-225,18708
18708,5,-25,19204
19204,5,-25,19200
19200,5,-25,19196
19196,2,-100,19193
19193,3,-25,19189
19189,5,-25,19685
19685,1,-225,19181
19181,5,-25,19678
19678,6,-100,20674
20674,3,-25,20672
20672,2,-100,20669
20669,5,-25,21166
21166,3,-25,21664
21664,1,-225,21661
21661,3,-25,21659
21659,5,-25,22658
22658,2,-100,22656
22656,2,-100,22655
22655,3,-25,23153
23153,3,-25,23652
23652,4,0,24152
24152,1,-225,24151
24151,5,-25,25152
25152,1,-225,25152
25152,2,-100,25652
25652,5,-25,26153
26153,2,-100,26154
26154,7,-225,27156
27156,1,-225,27657
27657,2,-100,27659
27659,3,-25,28161
28161,5,-25,28664
28664,2,-100,28666
28666,1,-225,28669
28669,5,-25,29172
29172,3,-25,29675
29675,1,-225,29678
29678,3,-25,29682
29682,5,-25,30185
30185,5,-25,30189
30189,2,-100,30192
30192,7,-225,30696
30696,5,-25,31201
31201,2,-100,30705
30705,7,-225,31209
31209,4,0,31213
31213,4,0,30717
30717,6,-100,31221
31221,4,0,30725
30725,7,-225,31229
31229,1,-225,30233
30233,3,-25,30237
30237,6,-100,30240
30240,7,-225,29743
29743,7,-225,29747
29747,5,-25,29750
29750,7,-225,29253
29253,4,0,28756
28756,3,-25,28258
28258,4,0,27760
27760,2,-100,26761
26761,7,-225,26762
26762,5,-25,26263
26263,2,-100,25263
25263,5,-25,24763
24763,6,-100,24762
24762,1,-225,23761
23761,7,-225,23260
23260,7,-225,23259
23259,5,-25,22757
22757,5,-25,22256
22256,4,0,21753
21753,3,-25,21251
21251,6,-100,20748
20748,5,-25,20745
20745,1,-225,19742
19742,6,-100,19738
19738,1,-225,19234
19234,3,-25,18730
18730,7,-225,18726
18726,4,0,18721
18721,3,-25,18216
18216,6,-100,18212
18212,7,-225,18708
18708,4,0,18703
18703,3,-25,18199
18199,3,-25,18194
18194,2,-100,18190
18190,7,-225,18685
18685,4,0,18681
18681,3,-25,18677
18677,7,-225,19673
19673,7,-225,20170
20170,2,-100,20167
20167,7,-225,21164
21164,2,-100,21161
21161,4,0,21659
21659,7,-225,22157
22157,1,-225,22656
22656,7,-225,23154
23154,4,0,23654
23654,4,0,24153
24153,5,-25,25153
25153,3,-25,25654
25654,7,-225,26155
26155,2,-100,26656
26656,7,-225,27157
27157,5,-25,28159
28159,4,0,28662
28662,3,-25,28665
28665,1,-225,28667
28667,3,-25,29170
29170,1,-225,29173
29173,3,-25,29176
29176,5,-25,29679
29679,7,-225,30183
30183,5,-25,30687
30687,3,-25,30691
30691,1,-225,30695
30695,4,0,30699
30699,1,-225,30703
30703,5,-25,30707
30707,4,0,30711
30711,3,-25,30714
30714,1,-225,30218
30218,4,0,29721
29721,5,-25,29725
29725,7,-225,30228
30228,6,-100,30232
30232,3,-25,29735
29735,2,-100,29238
29238,6,-100,28740
28740,4,0,28743
28743,3,-25,28245
28245,7,-225,27747
27747,4,0,27248
27248,5,-25,27250
27250,5,-25,26751
26751,3,-25,26252
26252,2,-100,25252
25252,6,-100,25253
25253,4,0,24752
24752,5,-25,24252
24252,5,-25,24251
24251,3,-25,23250
23250,3,-25,22749
22749,1,-225,22247
22247,2,-100,21244
21244,1,-225,20741
20741,1,-225,19738
19738,4,0,19234
19234,6,-100,19230
19230,4,0,19226
19226,6,-100,19222
19222,2,-100,18718
18718,4,0,18713
18713,5,-25,18709
18709,1,-225,18205
18205,4,0,18200
18200,5,-25,18696
18696,2,-100,18191
18191,3,-25,18186
18186,7,-225,18682
18682,3,-25,18678
18678,2,-100,18674
18674,5,-25,19170
19170,7,-225,20167
20167,1,-225,20163
20163,4,0,20660
20660,5,-25,21158
21158,5,-25,21656
21656,7,-225,22654
22654,3,-25,23153
23153,6,-100,23652
23652,5,-25,24652
24652,1,-225,24652
24652,3,-25,25152
25152,6,-100,26153
26153,4,0,26654
26654,2,-100,26655
26655,6,-100,27657
27657,1,-225,27659
27659,7,-225,28661
28661,3,-25,28664
28664,3,-25,29167
29167,2,-100,29170
29170,4,0,29673
29673,3,-25,29676
29676,4,0,30180
30180,1,-225,30184
30184,5,-25,30687
30687,1,-225,30191
30191,4,0,30695
30695,6,-100,30699
30699,2,-100,30703
30703,2,-100,30207
30207,1,-225,30210
30210,3,-25,29713
29713,5,-25,29717
29717,2,-100,29220
29220,7,-225,29723
29723,6,-100,29726
29726,5,-25,29729
29729,7,-225,29733
29733,2,-100,29236
29236,3,-25,28738
28738,4,0,28240
28240,7,-225,28242
28242,4,0,27744
27744,2,-100,27246
27246,3,-25,26247
26247,5,-25,26248
26248,1,-225,25248
25248,1,-225,24748
24748,4,0,24247
24247,5,-25,23746
23746,5,-25,23746
23746,5,-25,23244
23244,3,-25,22743
22743,7,-225,22741
22741,2,-100,22239
22239,5,-25,21737
21737,1,-225,21234
21234,6,-100,21232
21232,4,0,20729
20729,4,0,20726
20726,7,-225,20723
20723,7,-225,20720
20720,4,0,20717
20717,1,-225,20214
20214,1,-225,19710
19710,5,-25,19707
19707,4,0,19703
19703,7,-225,20200
20200,6,-100,20697
20697,4,0,20694
20694,5,-25,20691
20691,3,-25,20688
20688,2,-100,20685
20685,4,0,20683
20683,2,-100,20680
20680,2,-100,20677
20677,2,-100,20674
20674,2,-100,20671
20671,1,-225,20668
20668,2,-100,20666
20666,2,-100,21163
21163,1,-225,21160
21160,4,0,21658
21658,1,-225,21656
21656,1,-225,22154
22154,4,0,22652
25343,2,-100,24704
24704,2,-100,24204
24204,3,-25,24203
24203,5,-25,24203
24203,4,0,24202
24202,3,-25,24202
24202,4,0,24201
24201,2,-100,24201
24201,4,0,24200
24200,4,0,24199
24199,3,-25,24199
24199,2,-100,23698
23698,4,0,23697
23697,3,-25,23696
23696,5,-25,24196
24196,3,-25,23695
23695,5,-25,24195
24195,3,-25,24194
24194,5,-25,24194
24194,5,-25,24694
24694,3,-25,24693
24693,5,-25,25193
25193,3,-25,24693
24693,5,-25,25194
25194,3,-25,25194
25194,5,-25,25694
25694,4,0,25694
25694,6,-100,26195
26195,3,-25,26196
26196,4,0,26197
26197,3,-25,26197
26197,6,-100,26198
26198,5,-25,26699
26699,3,-25,26701
26701,6,-100,26702
26702,5,-25,27203
27203,5,-25,27205
27205,5,-25,27207
27207,4,0,27208
27208,6,-100,27710
27710,3,-25,27712
27712,3,-25,27213
27213,3,-25,27215
27215,5,-25,27216
27216,3,-25,26717
26717,4,0,26719
26719,6,-100,26720
26720,4,0,26721
26721,6,-100,26722
26722,4,0,26723
26723,6,-100,26724
26724,4,0,26725
26725,3,-25,26226
26226,4,0,25727
25727,3,-25,25227
25227,5,-25,25227
25227,3,-25,25227
25227,3,-25,24727
24727,3,-25,24227
24227,3,-25,23726
23726,5,-25,23725
23725,5,-25,23724
23724,3,-25,23223
23223,5,-25,23222
23222,2,-100,22720
22720,2,-100,22218
22218,3,-25,21716
21716,2,-100,21714
21714,5,-25,21712
21712,2,-100,21209
21209,3,-25,20706
20706,2,-100,20703
20703,4,0,20700
20700,5,-25,20697
20697,3,-25,20695
20695,3,-25,20692
20692,3,-25,20689
20689,5,-25,21186
21186,4,0,21184
21184,3,-25,21181
21181,2,-100,21179
21179,2,-100,21176
21176,4,0,21674
21674,4,0,21671
21671,5,-25,22170
22170,4,0,22668
22668,3,-25,23167
23167,2,-100,23166
23166,2,-100,23164
23164,2,-100,23163
23163,2,-100,23162
23162,3,-25,23661
23661,4,0,24161
24161,3,-25,24160
24160,3,-25,24660
24660,2,-100,24660
24660,4,0,25160
25160,6,-100,26161
26161,5,-25,26662
26662,5,-25,27164
27164,4,0,27666
27666,6,-100,28668
28668,3,-25,28671
28671,5,-25,29174
29174,5,-25,29677
29677,5,-25,30181
30181,3,-25,30185
30185,5,-25,30689
30689,3,-25,30693
30693,5,-25,31197
31197,3,-25,30701
30701,6,-100,31205
31205,4,0,31209
31209,5,-25,31214
31214,6,-100,31718
31718,3,-25,31223
31223,4,0,31227
31227,6,-100,31231
31231,3,-25,30735
30735,4,0,30239
30239,4,0,30243
30243,5,-25,29746
29746,6,-100,29749
29749,6,-100,29752
29752,5,-25,29255
29255,4,0,28758
28758,6,-100,28760
28760,3,-25,27762
27762,5,-25,27264
27264,3,-25,26765
26765,4,0,26266
26266,4,0,25266
25266,5,-25,24766
24766,3,-25,24265
24265,2,-100,23264
23264,3,-25,22262
22262,2,-100,21760
21760,4,0,21257
21257,2,-100,20254
20254,2,-100,19250
19250,4,0,18746
18746,2,-100,18241
18241,4,0,17736
17736,4,0,17231
17231,3,-25,16725
16725,4,0,16720
16720,5,-25,16714
16714,2,-100,16208
16208,4,0,16202
16202,2,-100,15696
15696,2,-100,15689
15689,4,0,15683
15683,4,0,16177
16177,4,0,16171
16171,5,-25,16666
16666,3,-25,17161
17161,2,-100,17155
17155,2,-100,17650
17650,2,-100,17645
17645,2,-100,18141
18141,5,-25,18636
18636,5,-25,19633
19633,4,0,20130
20130,3,-25,20627
20627,3,-25,21625
21625,5,-25,22123
22123,2,-100,22621
22621,5,-25,23621
23621,3,-25,24620
24620,3,-25,25120
25120,3,-25,25621
25621,6,-100,26622
26622,4,0,27624
27624,3,-25,28126
28126,4,0,29129
29129,5,-25,29632
29632,6,-100,30636
30636,4,0,31641
31641,6,-100,32646
32646,5,-25,33152
33152,3,-25,33658
33658,3,-25,34164
34164,3,-25,34170
34170,6,-100,35177
35177,5,-25,35184
35184,3,-25,35692
35692,4,0,35699
35699,5,-25,35706
35706,5,-25,36214
36214,5,-25,36221
36221,3,-25,35729
35729,4,0,35236
35236,5,-25,35243
35243,5,-25,35250
35250,4,0,34757
34757,6,-100,34263
34263,4,0,33769
33769,6,-100,33275
33275,3,-25,32780
32780,6,-100,32285
32285,3,-25,31289
31289,4,0,30793
30793,4,0,29796
29796,3,-25,28799
28799,4,0,27801
27801,3,-25,26802
26802,6,-100,26303
26303,4,0,25303
25303,6,-100,24803
24803,5,-25,24302
24302,4,0,23301
23301,2,-100,22299
22299,3,-25,21297
21297,2,-100,19793
19793,5,-25,19289
19289,2,-100,18285
18285,4,0,17280
17280,2,-100,16274
16274,3,-25,15767
15767,2,-100,14760
14760,3,-25,13753
13753,2,-100,13244
13244,2,-100,12236
12236,5,-25,12227
12227,5,-25,12218
12218,5,-25,12209
12209,4,0,12201
12201,3,-25,11692
11692,5,-25,12183
12183,5,-25,12674
12674,2,-100,12666
12666,2,-100,12658
12658,2,-100,12649
12649,3,-25,13141
13141,3,-25,13634
13634,3,-25,14126
14126,4,0,15120
15120,4,0,15613
15613,5,-25,16608
16608,4,0,17603
17603,4,0,18598
18598,5,-25,19595
19595,3,-25,20092
20092,2,-100,21089
21089,2,-100,21587
21587,3,-25,22085
22085,2,-100,23084
23084,5,-25,24083
24083,3,-25,24583
24583,5,-25,26084
26084,3,-25,26585
26585,5,-25,27587
27587,5,-25,29090
29090,6,-100,30093
30093,5,-25,31098
31098,5,-25,32103
32103,5,-25,33108
33108,4,0,34115
34115,4,0,35122
35122,3,-25,35629
35629,5,-25,36637
36637,3,-25,37145
37145,3,-25,37654
37654,6,-100,38163
38163,5,-25,39173
39173,6,-100,39683
39683,4,0,39693
39693,3,-25,39703
39703,3,-25,39713
39713,4,0,39724
39724,6,-100,39734
39734,4,0,39244
39244,3,-25,38753
38753,6,-100,38762
38762,4,0,38271
38271,6,-100,37780
37780,5,-25,37289
37289,5,-25,36796
36796,6,-100,36304
36304,5,-25,35311
35311,5,-25,34818
34818,6,-100,34324
34324,4,0,33329
33329,4,0,32334
32334,3,-25,31338
31338,3,-25,29842
29842,4,0,28845
28845,5,-25,28347
28347,3,-25,27348
27348,4,0,26349
26349,4,0,25349
25349,4,0,24348
24348,5,-25,23347
23347,3,-25,22345
22345,3,-25,21343
21343,3,-25,19839
19839,5,-25,19335
19335,2,-100,17830
17830,5,-25,17325
17325,3,-25,16319
16319,4,0,15312
15312,4,0,14305
14305,5,-25,13297
13297,3,-25,12288
12288,2,-100,11279
11279,5,-25,10769
10769,5,-25,10259
10259,5,-25,9749
9749,4,0,9238
9238,2,-100,8727
8727,5,-25,8716
8716,5,-25,8705
8705,2,-100,8193
8193,4,0,8682
8682,5,-25,8671
8671,5,-25,9161
9161,2,-100,9650
9650,2,-100,9640
9640,2,-100,10130
10130,4,0,10620
10620,4,0,11611
11611,4,0,12602
12602,3,-25,13094
13094,5,-25,14087
14087,4,0,15080
15080,3,-25,16074
16074,2,-100,16569
16569,3,-25,17564
17564,3,-25,18059
18059,5,-25,19055
19055,3,-25,20052
20052,5,-25,21049
21049,5,-25,22048
22048,2,-100,23046
23046,4,0,24046
24046,3,-25,24546
24546,4,0,25546
25546,5,-25,26547
26547,5,-25,27549
27549,3,-25,28552
28552,5,-25,29555
29555,4,0,30559
30559,3,-25,31564
31564,3,-25,32069
32069,4,0,33074
33074,3,-25,34080
34080,6,-100,35088
35088,6,-100,36596
36596,6,-100,37604
37604,6,-100,39114
39114,3,-25,39624
39624,4,0,40135
40135,4,0,41146
41146,5,-25,41657
41657,4,0,42169
42169,5,-25,42682
42682,6,-100,43694
43694,6,-100,43707
43707,3,-25,43720
43720,6,-100,43733
43733,3,-25,43246
43246,5,-25,43258
43258,6,-100,42770
42770,3,-25,42282
42282,4,0,41293
41293,5,-25,40804
40804,3,-25,39814
39814,3,-25,38824
38824,5,-25,37832
37832,4,0,36841
36841,4,0,35848
35848,3,-25,34855
34855,3,-25,33861
33861,6,-100,33366
33366,6,-100,32872
32872,6,-100,31876
31876,6,-100,31381
31381,3,-25,30384
30384,6,-100,29888
29888,3,-25,28890
28890,3,-25,27892
27892,5,-25,27394
27394,6,-100,26895
26895,6,-100,26396
26396,5,-25,25896
25896,5,-25,24896
24896,4,0,24395
24395,2,-100,23394
23394,4,0,22392
22392,3,-25,21389
21389,2,-100,20386
20386,2,-100,18882
18882,5,-25,18377
18377,5,-25,17872
17872,4,0,16866
16866,2,-100,15360
15360,3,-25,14352
14352,4,0,13344
13344,4,0,12336
12336,4,0,11326
11326,3,-25,10316
10316,4,0,9306
9306,5,-25,8795
8795,4,0,7783
7783,3,-25,6770
6770,2,-100,5757
5757,5,-25,5744
5744,3,-25,4730
4730,3,-25,4716
4716,4,0,4202
4202,3,-25,4188
4188,5,-25,4674
4674,3,-25,4660
4660,4,0,5147
5147,3,-25,5634
5634,3,-25,6121
6121,5,-25,7109
7109,5,-25,8097
8097,4,0,9086
9086,5,-25,10076
10076,5,-25,11067
11067,5,-25,12058
12058,4,0,13050
13050,5,-25,14043
14043,4,0,15036
15036,2,-100,16030
16030,5,-25,17025
17025,5,-25,18020
18020,2,-100,18516
18516,4,0,19012
19012,5,-25,20009
20009,3,-25,20506
20506,3,-25,21003
21003,2,-100,21501
21501,3,-25,25001
25001,5,-25,25501
25501,6,-100,26502
26502,5,-25,27504
27504,4,0,28007
28007,5,-25,29010
29010,4,0,30013
30013,4,0,30517
30517,6,-100,32022
32022,3,-25,32527
32527,6,-100,33533
33533,3,-25,34540
34540,5,-25,35547
35547,6,-100,36556
36556,4,0,37564
37564,4,0,38574
38574,5,-25,40084
40084,4,0,40595
40595,4,0,41607
41607,5,-25,42619
42619,6,-100,44132
44132,4,0,44645
44645,4,0,45159
45159,6,-100,46174
46174,5,-25,46689
46689,4,0,46703
46703,4,0,46718
46718,5,-25,46733
46733,4,0,46748
46748,3,-25,45762
45762,5,-25,45276
45276,4,0,44790
44790,6,-100,44303
44303,3,-25,43316
43316,4,0,42327
42327,4,0,41339
41339,5,-25,40849
40849,4,0,39859
39859,5,-25,38869
38869,3,-25,37878
37878,3,-25,36886
36886,4,0,35893
35893,3,-25,34900
34900,5,-25,34406
34406,4,0,33912
33912,3,-25,32917
32917,4,0,32422
32422,6,-100,31927
31927,6,-100,31932
31932,4,0,31436
31436,3,-25,30440
30440,3,-25,29943
29943,4,0,29946
29946,3,-25,28949
28949,6,-100,28951
28951,4,0,28954
28954,4,0,28456
28456,5,-25,28458
28458,4,0,28461
28461,6,99900,28463
25343,1,-225,24700
24700,1,-225,24199
24199,1,-225,24199
24199,1,-225,23698
23698,1,-225,23697
23697,1,-225,23196
23196,1,-225,23195
23195,1,-225,23194
23194,1,-225,22692
22692,1,-225,22691
22691,1,-225,22189
22189,1,-225,22187
22187,1,-225,22185
22185,1,-225,22183
22183,1,-225,22181
22181,1,-225,21679
21679,1,-225,21677
21677,1,-225,21675
21675,1,-225,21673
21673,1,-225,21671
21671,1,-225,21669
21669,1,-225,22167
22167,1,-225,22165
22165,1,-225,22163
22163,1,-225,22161
22161,1,-225,22659
22659,1,-225,22658
22658,1,-225,22656
22656,1,-225,23155
23155,1,-225,23154
23154,1,-225,23152
23152,1,-225,23652
23652,1,-225,23651
23651,1,-225,24150
24150,1,-225,24150
24150,1,-225,24649
24649,1,-225,24649
24649,1,-225,25149
25149,7,-225,25650
25650,7,-225,26651
26651,7,-225,27653
27653,7,-225,28656
28656,7,-225,29159
29159,7,-225,30162
30162,7,-225,30666
30666,7,-225,31671
31671,7,-225,32176
32176,7,-225,33182
33182,7,-225,33687
33687,7,-225,34194
34194,7,-225,34700
34700,7,-225,34707
34707,7,-225,35214
35214,7,-225,35221
35221,7,-225,35728
35728,7,-225,35736
35736,7,-225,35743
35743,7,-225,35750
35750,7,-225,35257
35257,7,-225,35264
35264,7,-225,34771
34771,7,-225,34777
34777,7,-225,34284
34284,7,-225,33790
33790,7,-225,33295
33295,7,-225,32801
32801,7,-225,32306
32306,7,-225,31810
31810,7,-225,31314
31314,7,-225,30318
30318,7,-225,29821
29821,7,-225,29324
29324,7,-225,28827
28827,7,-225,28329
28329,7,-225,27330
27330,7,-225,26832
26832,7,-225,26332
26332,7,-225,25333
25333,7,-225,24833
24833,1,-225,23832
23832,1,-225,22330
22330,1,-225,21327
21327,1,-225,19823
19823,1,-225,18319
18319,1,-225,17314
17314,1,-225,16308
16308,1,-225,14801
14801,1,-225,13793
13793,1,-225,12784
12784,1,-225,11275
11275,1,-225,10265
10265,1,-225,9754
9754,1,-225,8743
8743,1,-225,7732
7732,1,-225,7219
7219,1,-225,6707
6707,1,-225,6694
6694,1,-225,6182
6182,1,-225,6169
6169,1,-225,6156
6156,1,-225,6143
6143,1,-225,6631
6631,1,-225,7119
7119,1,-225,7607
7607,1,-225,8095
8095,1,-225,8584
8584,1,-225,9074
9074,1,-225,10063
10063,1,-225,10554
10554,1,-225,11044
11044,1,-225,11535
11535,1,-225,12527
12527,1,-225,13019
13019,1,-225,13511
13511,1,-225,14003
14003,1,-225,25001
25001,1,-225,25001
25001,7,-225,26002
26002,7,-225,27003
27003,7,-225,28006
28006,7,-225,29509
29509,7,-225,30513
30513,7,-225,31517
31517,7,-225,32523
32523,7,-225,33529
33529,7,-225,35036
35036,7,-225,36044
36044,7,-225,37552
37552,7,-225,38562
38562,7,-225,40072
40072,7,-225,41083
41083,7,-225,42595
42595,7,-225,43608
43608,7,-225,45122
45122,7,-225,46137
46137,7,-225,47152
47152,7,-225,48168
48168,7,-225,48684
48684,7,-225,49201
49201,7,-225,49718
49718,7,-225,49735
49735,7,-225,49752
49752,7,-225,49769
49769,7,-225,49285
49285,7,-225,48802
48802,7,-225,48318
48318,7,-225,47833
47833,7,-225,47349
47349,7,-225,46863
46863,7,-225,45878
45878,7,-225,45391
45391,7,-225,44905
44905,7,-225,44418
44418,7,-225,44431
44431,7,-225,43944
43944,7,-225,43957
43957,7,99775,43970
25343,5,-25,25191
25191,3,-25,25191
25191,6,-100,25691
25691,5,-25,26192
26192,6,-100,26693
26693,6,-100,27194
27194,4,0,27196
27196,4,0,27197
27197,4,0,27199
27199,4,0,27201
27201,5,-25,27702
27702,6,-100,27704
27704,4,0,27706
27706,4,0,27708
27708,4,0,27710
27710,4,0,27712
27712,4,0,27714
27714,6,-100,27716
27716,3,-25,27718
27718,3,-25,27219
27219,5,-25,27221
27221,4,0,27223
27223,3,-25,26724
26724,6,-100,26725
26725,6,-100,27227
27227,4,0,26728
26728,4,0,26729
26729,6,-100,26730
26730,3,-25,26231
26231,5,-25,26231
26231,5,-25,25732
25732,5,-25,25733
25733,5,-25,25733
25733,4,0,25233
25233,4,0,25233
25233,4,0,24733
24733,3,-25,24233
24233,2,-100,23732
23732,2,-100,23230
23230,5,-25,22729
22729,4,0,22727
22727,5,-25,22726
22726,2,-100,22224
22224,3,-25,21721
21721,5,-25,21719
21719,4,0,21217
21217,2,-100,21214
21214,5,-25,21211
21211,4,0,21209
21209,2,-100,20706
20706,5,-25,20703
20703,2,-100,20700
20700,3,-25,20197
20197,4,0,20694
20694,4,0,20691
20691,3,-25,20688
20688,5,-25,20685
20685,5,-25,21182
21182,4,0,21680
21680,2,-100,21678
21678,5,-25,22176
22176,5,-25,22174
22174,4,0,22672
22672,4,0,23171
23171,2,-100,23170
23170,3,-25,23169
23169,4,0,23668
23668,4,0,24167
24167,4,0,24667
24667,2,-100,24667
24667,2,-100,24667
24667,2,-100,24667
24667,4,0,25167
25167,5,-25,25667
25667,6,-100,26668
26668,6,-100,27170
27170,6,-100,27672
27672,4,0,28174
28174,4,0,28677
28677,4,0,28679
28679,4,0,29182
29182,5,-25,29685
29685,4,0,29689
29689,6,-100,30192
30192,4,0,30196
30196,4,0,30700
30700,6,-100,30704
30704,5,-25,31208
31208,6,-100,31212
31212,4,0,31217
31217,5,-25,31221
31221,5,-25,31225
31225,6,-100,31230
31230,6,-100,31234
31234,3,-25,30738
30738,4,0,30742
30742,6,-100,30746
30746,4,0,30249
30249,4,0,29752
29752,4,0,29255
29255,5,-25,28758
28758,6,-100,28760
28760,5,-25,28262
28262,3,-25,27264
27264,6,-100,27266
27266,5,-25,26767
26767,6,-100,26268
26268,3,-25,25768
25768,4,0,24768
24768,2,-100,23767
23767,4,0,23266
23266,3,-25,22765
22765,4,0,21762
21762,3,-25,21260
21260,5,-25,20757
20757,3,-25,20254
20254,3,-25,19250
19250,3,-25,18746
18746,3,-25,18241
18241,3,-25,17736
17736,4,0,17231
17231,5,-25,17225
17225,5,-25,17220
17220,2,-100,16714
16714,5,-25,16709
16709,5,-25,16703
16703,4,0,16698
16698,4,0,16692
16692,3,-25,16687
16687,2,-100,16681
16681,3,-25,16675
16675,5,-25,17170
17170,4,0,17665
17665,2,-100,17660
17660,4,0,18156
18156,3,-25,18651
18651,5,-25,19148
19148,4,0,19644
19644,5,-25,20641
20641,5,-25,21639
21639,2,-100,21637
21637,2,-100,22135
22135,3,-25,22633
